gene.name,BA1,BA2,PBA
Gyltl1b,3.612337172,3.818217667,2.559283687
Ppp1r15a,-3.005351562,-2.7369965,-2.359217458
Slc26a10,1.442965868,1.513927621,1.630934329
Rprd1a,0.364272521,0.403213763,0
Spns2,1.034478567,1.573721636,1.255633856
Sgms1,-1.435921963,-1.949694669,-0.999478485
Cdh12,0,3.166783702,2.159402837
Usp45,0.780915537,0.548222274,0
1700054O13Rik,0,0,0
Arglu1,1.089076625,0.897104041,0.435888033
Os9,-0.627706211,0,-0.41350062
Mybbp1a,-0.580661895,-0.610605837,-0.695048156
Gtpbp10,0.771265024,0,0
Blvrb,-2.26603043,0,-1.412884719
4921522P10Rik,0,0,0
Ggt6,0,0,0
Rabggta,0.685741002,0.542030288,1.324936683
A330021E22Rik,0,0,0.961612963
Prdm13,0,0,0
Dgkz,0,0.320369191,0.492933654
Bptf,0,0,-0.834080786
Dom3z,0,0.666241946,0.898323073
Xaf1,-3.890245873,0,-3.393456288
Lrrc52,0,0,0
Ltbp4,0.777610267,1.518368952,0.946228295
Sox30,0,0,0
Lrfn2,0,0,0
Chrm4,-2.550907297,-2.621729009,0
2210010C17Rik,0,0,0
Mar-09,1.171066735,0.885334245,1.400965636
Abcg5,10.35261469,2.330132939,0
Ambra1,0,0.31766024,0
Pvr,-2.795196558,-3.187779296,-2.166370452
4921511H03Rik,0,0,0
Manea,0.654248682,0.542216929,0.756002539
Tsfm,0.631152222,0,0
Tlr8,-3.731730879,-2.83824216,-4.82957747
Zfp609,0,0.324518521,0
Cblc,10.33706756,3.150856208,9.767401162
Gm885,-3.92251098,-3.294660888,-4.504873801
Abhd11,0,0,0.674357218
Matn1,-5.445548087,-3.666604146,0
Necab1,-1.925318848,-1.761944228,-3.140528955
Adam22,0,1.511717025,0.837147796
Gm9770,2.57623856,0,0
Tmem225,0,0,0
Pitpnm3,-1.511774664,-1.606629252,0
Tex2,-0.375072196,0,-1.357503085
Ckap5,0.571843245,0.369660879,0
Otud6b,-1.015663724,-1.227959746,-1.841159207
C3ar1,-5.066198015,-3.390773276,-3.559955661
Aipl1,0,0,0
Wbscr27,1.608555313,1.77297489,1.895163886
Wdr7,-0.403584587,0,-0.220797609
Gstm2,0,0.915799047,0.590592777
BC018242,0,0.516118798,0.715179487
Apoc1,-1.515610088,-1.32001525,0
Btaf1,0.267962902,0,-0.519007209
Slc26a7,0,2.065401704,0
Rundc3b,0.969177252,1.514161,1.192863217
Wbscr28,0,0,0
Cyp2b13,0,0,0
Abcb1a,0,0,0
Ofd1,0.376584536,0.616432007,0
1110051M20Rik,0.445351916,0.753784383,1.033231878
Cd79b,0,0,0
Ranbp17,1.63467976,0.903552718,0.973838771
Pogk,1.068013,1.032556314,0.980070767
Mis12,0,0,-0.299208791
Eps8l3,0,0,0
Nlrp4a,0,0,0
Bace2,-2.33312265,-0.810380628,1.049276311
Kazn,-0.931173652,0,0
Tlx3,2.311758569,0,0
Ildr2,-0.857779186,0,-1.859582267
Apobec1,-3.88848099,-3.060788718,-2.822938882
Nlrp9c,0,0,0
Tmem51,-1.389489516,-0.645135821,0
Pck2,1.02971828,1.328044223,1.224797832
Dhx33,0,-0.283196565,-0.362435923
Gemin8,0,0.50603507,0
Plekhg1,0.952694349,1.573050878,0.733957751
Aicda,0,0,0
Mael,0,0,0
Dok4,0.550274828,0.799344993,2.083715759
Nrl,0,0,0
Erc2,-0.678320253,0,0
Ppip5k2,0.811050292,0.575278012,0.295273907
Rimklb,3.174060586,2.928608592,2.579173485
Cyp2b23,0,0,0
D14Abb1e,1.084801489,0.681351571,0.544362785
Oaz2,0.373725461,0.515661477,0.509462965
Ppp1r14c,0,-1.016663824,3.182678143
1700063H04Rik,-3.982333376,0,0
BC048355,1.466891232,1.47184707,1.273269405
Efhd2,-1.853825126,0,0
Cyp2b9,0,0,0
Rad54l2,0,0,-0.22207122
Clcf1,0,-0.623495652,0
Sh3bgr,-1.689712229,-1.992205389,1.625118649
Nup88,0.234270047,0,0
Phc1,0.275643791,0.918727269,0
Mthfd1l,0.620951263,0.401130373,0.304066054
Kremen2,0,-1.203125038,-3.403511133
Hmgn1,0.512775633,0,0
Madd,0.64297439,1.120374126,0.519515175
Tbl3,0.417255017,0.415326539,0.52144566
Col16a1,0,0,-0.688596912
Slco4c1,0,0,0
Apobec2,-3.180361713,-3.359651211,0
Dnajc16,0,0,0
Limd2,0.66101954,0.79341654,1.22695289
Ap1g2,0,0,0
Cyp2s1,1.878337387,1.463852099,0.877273406
A930016O22Rik,0,0,0
Agmat,0,0,0
St8sia4,2.200772214,1.970357502,1.576888316
Sh3pxd2b,0,0.495254797,0.407951289
Camta2,0,0.715446232,0
Creg1,-2.35189897,-0.96936305,-1.579316084
Klc3,0,1.239931393,1.35602823
Rsc1a1,0,0,0
Il17rd,1.027075074,1.224661401,1.063669474
1110037F02Rik,0,0,-0.211073135
Zfhx2,1.703323127,1.651566115,1.052692138
Scamp5,0,0.536117878,0.904081437
Rcsd1,-0.753935377,0.454932415,1.199644162
Kcna2,0,0,0
Hnrnpul1,0,0.351845783,-0.444362397
Hesx1,0,0,0
Esrp1,6.160771592,6.693607766,6.52594744
AK129341,0.46452485,0,0
Eif4h,0,0,0
Erg,3.137188242,4.934714907,2.861362651
Ppp1r13l,-1.927038934,-1.461541102,-1.200991909
Ints8,0.389459768,0,0
Slc25a34,0,0,0
Rnf167,0,0.954044136,1.076795691
Cd53,-3.151283251,-2.598384368,-2.192265419
Siah1b,0,0,0
Lat2,0,0,0
Myh6,-3.526920479,-4.505746772,1.548109789
Cmtm5,-3.621885477,-3.464126148,-1.759075304
Appl1,0,0,-0.593580916
Spen,0.21722591,0.225320381,-0.795182286
Snrnp25,1.079926972,0.760047726,1.172988989
Il25,-4.98359332,0,0
AI314976,0.664694702,0.561004333,0
Cept1,0,0,0
Gm9772,0,0,0
Rfwd2,-0.356605088,0,0
Ttc3,0.503775772,0.336406489,0.388919075
C1qtnf4,0,0,2.359994952
Iqcc,0.910172665,0.447214959,0.467802684
Iqsec3,-5.141895642,-2.656259293,-2.942719394
S100g,0,0,0
Chi3l3,0,0,0
Eml2,0,0,0.478926317
Agbl2,0,0,0
Tex264,-1.498934213,-1.21466844,-0.949021835
Fam116a,1.142494384,0.928618312,0.539231135
Hlcs,1.20388643,1.227130609,0.666955255
1700123O20Rik,-0.548267497,-0.696191972,0
Snrpd2,0,0,0.641926387
Tmem146,2.228350654,0,2.134220209
Zmynd15,-2.454047773,-2.418195252,0
Gpr161,0,0,-0.348965427
Gm11639,0,0,0
4930579G18Rik,0,-3.037066106,0
Six5,1.508873861,2.149237672,1.888871107
D4Ertd22e,-0.6835909,-0.369540322,-0.369111306
Tiprl,-0.440602086,-0.630566372,-0.557210097
Sft2d2,0,0.488751216,0
Psme4,0.721187674,0.426392526,0.265502209
Plekhh2,-0.72751082,-0.648625831,-2.168892073
Reps2,0,0,0
Dlk1,0,-1.141581439,0
Erf,-1.205654763,-1.030302806,-0.445065884
Bsdc1,-0.989233536,-0.575814445,0
Crocc,1.601851575,1.922555453,1.291628147
Ino80d,0.47041339,0,0
Rsph6a,0,0,0
Begain,0.741950318,1.331171692,1.092558002
Osbpl10,-0.885638459,-0.919845776,0
Wdr25,0,0.563078025,0.946492963
Tmem205,0,0,0.772391003
Gfer,-1.310349597,-1.632078062,-0.894252709
Foxa3,0,0,0
Kcnd3,0,0,0.936828452
Ccr6,0,0,0
Kcnk18,0,0,0
Rnasek,-2.493112624,-1.93566725,-2.006392987
Atp1a3,-1.228878886,0,0
Fbxw4,0,0,0
Slc19a2,-3.076059315,-2.990155897,-2.262587588
4930505A04Rik,0,0,0
S100pbp,0.224039399,0.392976793,0
Rfx3,1.974399425,1.023620668,0.591207525
Padi6,0,0,0
Ulk4,2.729468311,2.569931958,2.640311472
Slc16a11,0,0,8.728772264
Arhgef1,0,0.218637392,0.454497743
Tet2,0.503169046,0.607844017,0
Rcc2,1.11675304,0.997849156,0.888210947
Mgl2,0,0,0
Rps19,0,-0.911997146,0
Cables1,-1.119228281,-1.406983704,0.630055633
Asgr2,0,0,0
Arhgef10l,0,1.142636577,1.008033553
Slc22a2,0,0,0
D630013G24Rik,0,0,0
Igsf21,0,0,0
Gm11992,0,3.390306977,3.690644789
Sun3,0,0,0
Mill2,0,0,0
Sh3kbp1,-0.821588389,-0.764893049,0
Abhd4,-2.434844736,-1.862094069,-1.357427928
Npnt,-2.021714021,-0.55533838,-1.371157477
Trim62,0.614163715,0.566543172,1.225045716
Iqcf4,0,0,0
Cmtm8,1.490020157,1.771391977,2.325661249
Nrg3,0,1.79644255,-4.374845997
Mtap7d2,2.45076544,1.301859922,1.868068817
Iffo2,-2.275756979,-2.179947981,-1.659740698
Ghitm,-0.595399126,-1.082244852,-0.267154989
Dpcd,0,0,0.693127448
Irgq,-0.220928797,0,0
Fam117b,0.650373331,0.336061381,0.708733197
Lrit1,0,0,0
Ramp3,-2.87981541,-0.848438533,-0.903057807
Slc7a13,0,0,0
Wdr43,-0.566361436,-0.82280534,-0.967785275
Wwp1,-0.296531437,0,-0.380622714
Mslnl,0,0,0
Pif1,2.63986969,2.460881615,1.038750074
4930596D02Rik,0,0,0
Nacad,-1.817559526,-1.868403003,-2.50324926
Fzd7,-1.10085315,-0.810315293,-0.949370814
Grid1,-2.466220241,-1.399428749,0
Rwdd2b,0,0,0
Ostc,-0.33154429,-0.67812583,-0.567207605
Tspyl2,0,0,-0.716735565
Elmo1,0,0,1.538329454
Iqsec2,0,0,0
Ccdc8,0,0,0.410804026
Pde9a,2.335855075,2.018148207,1.709914237
Nbl1,1.799091767,1.303918381,0
8430410K20Rik,0,0,0
H2afv,1.41560754,1.583772542,1.233720275
Zfp598,0,0,-0.439531314
N4bp2l1,0,0,0
Smc1a,0.534364788,0.675236964,0
Cyyr1,1.288977056,1.582161334,1.363123815
Ripk2,0,0,-1.09642484
Txndc3,0,0,0
Pnmal1,3.312621315,2.747481784,2.751531036
Tmco4,0,0,0
Dnahc7b,3.226938182,4.288910304,2.572856812
Brca2,2.230294893,2.694806814,1.348160201
Osgin2,1.01699129,0.629666048,0
Otud3,-0.456809142,-0.647959096,-1.170808468
Zmiz2,0.412988318,0.977773978,0.362837011
Spem1,0,0,0
Lonp1,0,0,0
Hectd2,-0.579279716,-0.450375971,-0.593211305
Prkd2,-0.534947969,-0.285994009,0
Chrnb1,-2.567629483,-2.200377399,-3.408213823
Pla2g5,0,0,0
Rpusd1,-0.520486471,0,0
Pla2g2d,0,0,0
2310036O22Rik,-0.423943468,-0.798169774,-0.763193868
Map6d1,0,0,0
Yeats2,0.191337809,0.433612611,0.213525401
Clvs1,0,0,0
Arhgap11a,0,0.492859386,-0.304914908
Elovl6,1.008888538,0.6357198,0
Arhgap12,0.701292234,0.485922552,0
Phf8,-0.475072081,0,-0.812256009
Ublcp1,0,0,0
Chd7,1.7038598,1.206119353,1.588899838
Vps41,-0.278118255,-0.237151498,0
Pklr,2.999330432,3.976777355,4.161149731
Rbbp8,0.616136108,0.431893056,0
Mul1,-0.512119396,-0.377254829,0
Wnk3-ps,0.738549137,0,0
Lamp3,0,0,0
Kcnj1,0,0,0
Tmco5b,0,0,0
Zfp236,0.238286784,0,0
Car8,1.770454288,1.586035428,2.957075973
Rusc1,0,0.429778135,0.439567117
Uspl1,0,-0.199596027,0.346964423
Dmxl2,1.500128514,1.239333549,0
Tox,0.767995462,1.893072688,-0.407539088
Ttc1,-0.461959605,-0.676065902,-0.966994222
Sox15,0,0,0
Gpr110,0,0,0
Cdk13,-0.501064144,-0.404200228,-0.753646934
Katnal1,0.380074705,0.548368176,0
Cftr,0,0,2.748126282
Gtf3c3,0,0,0
Sntb2,0,0,-0.31531923
Nkx6-2,-4.164917213,-4.832616895,0
Slc7a1,-2.193149828,-2.334970787,-2.157336472
Thoc6,-0.412758469,-0.347293959,0
Ak7,0,0,0
Inhba,-4.891292173,-5.391439276,-3.499720994
Pcf11,-0.28627789,-0.399414107,-0.648090833
Atp1b2,-0.967166101,0,1.150274139
Mup4,0,0,0
Atg2b,-0.685220155,-0.656191781,-0.92205915
Ankrd42,0,0,0
Wrap53,-0.324791904,0,0
Bdkrb1,0,0,0
Rap1gap,-0.634958195,-0.397985314,0.710485014
Tmem29,1.191479245,0.942043184,0
Rgl2,0.958850578,0.766298616,1.635722044
Ssr2,-1.607758816,-1.227715611,-0.387227547
BC125332,0,0,0
Tcl1,0,0,0
D19Bwg1357e,-0.486735079,-1.057466385,-1.002347107
Myzap,2.301032423,1.357236986,2.03371397
4930506M07Rik,0,0,0
B4galnt3,0,1.783503889,2.150645887
Ccdc9,0,0,-0.444690099
Ninj2,0,0,0
Cldn5,8.534680583,7.052854192,7.747479308
Htr2c,0,0,0
Mdfic,0,0,0
2810422O20Rik,0,0,0
1700013G24Rik,0,-8.59650715,-9.678100788
BC055324,1.447087442,1.322808614,0.972851282
Wapal,0,-0.1894228,-0.639614183
Dicer1,1.369364734,1.092761699,0.597665475
Pik3r1,-0.387645288,-0.976542888,-1.097198886
Meis3,-0.911320071,-0.786707731,0
Paqr6,0,0,0
Hibch,0.528968665,0,0
Nthl1,-0.460050699,0,0
Ccnb1,1.77699503,1.549756689,1.085085819
Cirh1a,-1.014142851,-1.088385935,-0.737419181
Mfsd6,0,0.754080505,1.093260928
Gk5,0,0,0
Arhgap32,0.61249874,0.806419847,0
Mmrn2,1.779793958,2.539589908,2.924834076
Serpina3h,-5.708855898,-4.214065241,-4.184766694
Rpl21,0.839321048,0,0
Tardbp,0.572649862,0.214093166,0.251538796
Cacna2d4,0,0,0
Gpr12,0,0,0
Fam35a,0,0,0
Smpx,-3.289418452,-3.448359663,1.350283273
Dcp1b,1.707920851,2.41896262,1.705896049
Syt15,0,0,3.538611112
Serpina3g,-4.910949577,-3.547243967,-3.19656761
Fam38b,0,0.41007073,0.263751454
Zfp281,0.231500038,-0.231398857,-0.304446676
Stx3,-1.137812498,-1.402646405,-0.645375939
Cep78,2.24879896,2.053268603,1.630493793
Kif14,2.001451457,2.120308717,0.607749828
Gm3402,0,0,0
Rrp9,-0.934990066,-1.304433441,-0.855433613
4930569F06Rik,0,0,0
Irf8,-1.926401158,-1.197926199,0
Upk2,0,0,8.562668833
Rnf123,0.321600325,0.591239196,0.434516022
Eif2c1,1.53967767,1.754736097,0.976314372
Rbp3,0,0,0
Serpina3a,0,0,0
H2-Ob,0,0,0
Sox5,2.819204709,3.204013422,2.38403547
Ptchd2,0,0,0
Hspb8,-1.112293173,-1.956099871,0
Serpina5,0,0,0
Ptchd1,-2.121432935,-2.396225662,-1.84966333
Fbxo2,-2.274939403,0,0
Fmod,-2.135778559,0,0.657674822
Gltscr2,0,-0.237471442,0
