gene.name,BA1,BA2,PBA,BIO,BIOw1,BIOw2,MUT1,MUT2,MUT3
Nhp2,0,0,0,0,0,0,1,0,0
1300018I17Rik,0,0,0,0,0,0,0,0,0
Zfp276,0,0,0,0,0,0,0,0,0
C1ql4,0,0,1,0,0,0,0,0,0
Mfsd10,0,0,0,0,0,0,0,0,0
Luzp1,0,0,0,0,0,0,0,0,0
Slc13a2,0,0,0,0,0,0,0,0,0
Kctd10,0,0,0,0,0,0,0,0,0
Poldip2,0,0,0,0,0,0,0,0,0
Sebox,0,0,0,0,0,0,0,0,0
Ift20,0,0,0,0,0,0,1,0,0
Col6a1,0,0,0,0,0,0,0,0,0
Pcbp3,0,0,0,0,0,0,0,0,0
Lgals9,0,0,0,0,0,0,0,0,0
Araf,0,0,0,0,0,0,0,0,0
Cfp,0,0,0,0,0,0,1,0,0
Timp1,0,0,0,0,0,0,0,0,0
Uxt,0,0,0,0,0,0,0,0,0
Cnnm3,0,0,0,0,0,0,0,0,0
Lman2l,0,0,0,0,0,0,0,0,0
Mcm3ap,0,0,0,0,0,0,0,0,0
Pcnt,0,0,0,0,0,0,0,0,0
Ftcd,0,0,1,0,0,0,0,0,0
Mxd1,0,0,0,0,0,0,0,0,0
Gmcl1,0,0,0,0,0,0,0,0,0
Snrnp27,0,0,0,0,0,0,0,0,0
Oas1c,0,0,0,0,0,0,0,0,0
Oas1h,0,0,0,0,0,0,0,0,0
Ocrl,0,0,0,0,0,0,0,0,0
Calm1,0,0,0,0,0,0,0,0,0
Agpat3,0,0,0,0,0,0,0,0,0
Slc26a3,0,0,0,0,0,0,0,0,0
Sema6b,0,0,0,0,0,0,0,0,0
Uhrf1,1,1,0,0,0,0,0,0,0
Dpp9,0,0,0,0,0,0,0,0,0
Ramp2,1,1,1,0,0,0,1,0,0
Lsr,0,0,0,0,0,0,0,0,0
Gramd1a,0,0,1,0,0,0,0,0,0
Hpn,0,0,1,0,0,0,1,0,0
